neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
MAOR,BIRD,True,94223,Icterus bonana,,Icterus bonana,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Icteridae,,,,Icterus,,,,Icterus bonana,,,,,,,
MAPA,BIRD,True,95145,Pseudonestor xanthophrys,,Pseudonestor xanthophrys,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Pseudonestor,,,,Pseudonestor xanthophrys,,,,,,,
MASA,BIRD,True,95661,Tringa stagnatilis,,Tringa stagnatilis,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Scolopacidae,,,,Tringa,,,,Tringa stagnatilis,,,,,,,
MASH,BIRD,True,95209,Puffinus puffinus,,Puffinus puffinus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Procellariiformes,,,Procellariidae,,,,Puffinus,,,,Puffinus puffinus,,,,,,,
MASP,BIRD,True,94734,Oceanodroma markhami,,Oceanodroma markhami,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Procellariiformes,,,Hydrobatidae,,,,Oceanodroma,,,,Oceanodroma markhami,,,,,,,
MAST,BIRD,True,93563,Ciconia maguari,,Ciconia maguari,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Ciconiiformes,,,Ciconiidae,,,,Ciconia,,,,Ciconia maguari,,,,,,,
MASW,BIRD,True,92921,Aerodramus bartschi,,Aerodramus bartschi,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Apodiformes,,,Apodidae,,,,Aerodramus,,,,Aerodramus bartschi,,,,,,,
MATI,BIRD,True,95620,Tityra semifasciata,,Tityra semifasciata,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Cotingidae,,,,Tityra,,,,Tityra semifasciata,,,,,,,
MAVI,BIRD,True,95779,Vireo pallens,,Vireo pallens,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Vireonidae,,,,Vireo,,,,Vireo pallens,,,,,,,
MAWA,BIRD,True,95365,Setophaga magnolia,,Setophaga magnolia,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Parulidae,,,,Setophaga,,,,Setophaga magnolia,,,,,,,
MAWQ,BIRD,True,94742,Odontophorus gujanensis,,Odontophorus gujanensis,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Galliformes,,,Odontophoridae,,,,Odontophorus,,,,Odontophorus gujanensis,,,,,,,
MAWR,BIRD,True,93577,Cistothorus palustris,,Cistothorus palustris,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Troglodytidae,,,,Cistothorus,,,,Cistothorus palustris,,,,,,,
