acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
BLALIH,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Arthropoda,Blackburnia lihau,Zimmerman and Liebherr,lihau,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLALIH,target,BEETLE
BLALIM,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia limbata,Sharp,limbata,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLALIM,target,BEETLE
BLALON1,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia longipes,Sharp,longipes,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLALON1,target,BEETLE
BLALON2,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia longula,Sharp,longula,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLALON2,target,BEETLE
BLALUC,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia lucipetens,Blackburn,lucipetens,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLALUC,target,BEETLE
BLAMAC,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia maculata,Sharp,maculata,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMAC,target,BEETLE
BLAMAN,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Arthropoda,Blackburnia mandibularis,Liebherr and Zimmerman,mandibularis,Protocaccus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMAN,target,BEETLE
BLAMED,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Arthropoda,Blackburnia medeirosi,Zimmerman and Liebherr,medeirosi,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLAMED,target,BEETLE
BLAMET1,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia meticulosa,Blackburn,meticulosa,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMET1,target,BEETLE
BLAMET2,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia metromenoides,Perkins,metromenoides,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAMET2,target,BEETLE
