acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
CREBAI5,Actinopterygii,Goodeidae,Crenichthys,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165687 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165687, accessed 31 Aug 2017",Cyprinodontiformes,Chordata,Crenichthys baileyi,(Gilbert),baileyi,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CREBAI5,target,FISH
CRENEV,Actinopterygii,Goodeidae,Crenichthys,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cyprinodontiformes,Chordata,Crenichthys nevadae,Hubbs,nevadae,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRENEV,target,FISH
CRESP,Actinopterygii,Goodeidae,Crenichthys,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165686 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165686, accessed 31 Aug 2017",Cyprinodontiformes,Chordata,Crenichthys sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRESP,target,FISH
CRYASP,Actinopterygii,Percidae,Crystallaria,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Perciformes,Chordata,Crystallaria asprella,(Jordan),asprella,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYASP,target,FISH
CRYCIN,Actinopterygii,Percidae,Crystallaria,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Perciformes,Chordata,Crystallaria cincotta,Welsh & Wood,cincotta,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYCIN,target,FISH
CRYSP,Actinopterygii,Percidae,Crystallaria,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=201981 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=201981, accessed 31 Aug 2017",Perciformes,Chordata,Crystallaria sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYSP,target,FISH
CRYSP1,Actinopterygii,Cichlidae,Cryptoheros,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161087 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161087, accessed 31 Aug 2017",Perciformes,Chordata,Cryptoheros sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYSP1,target,FISH
CRYSPI,Actinopterygii,Cichlidae,Cryptoheros,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Perciformes,Chordata,Cryptoheros spilurus,(Günther),spilurus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYSPI,target,FISH
CRYSPP1,Actinopterygii,Cichlidae,Cryptoheros,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161087 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161087, accessed 31 Aug 2017",Perciformes,Chordata,Cryptoheros spp.,,spp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYSPP1,target,FISH
CTECLA,Actinopterygii,Gobiidae,Ctenogobius,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=637214 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=637214, accessed 31 Aug 2017",Perciformes,Chordata,Ctenogobius claytonii,(Meek),claytonii,,species,Mexican Goby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTECLA,target,FISH
CTEIDE,Actinopterygii,Cyprinidae,Ctenopharyngodon,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Ctenopharyngodon idella,(Valenciennes),idella,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTEIDE,target,FISH
CTENIG,Actinopterygii,Anabantidae,Ctenopoma,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Perciformes,Chordata,Ctenopoma nigropannosum,Reichenow,nigropannosum,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTENIG,target,FISH
CTEPSE,Actinopterygii,Gobiidae,Ctenogobius,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Perciformes,Chordata,Ctenogobius pseudofasciatus,(Gilbert & Randall),pseudofasciatus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTEPSE,target,FISH
CTESHU,Actinopterygii,Gobiidae,Ctenogobius,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Perciformes,Chordata,Ctenogobius shufeldti,(Jordan & Eigenmann),shufeldti,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTESHU,target,FISH
CTESP,Actinopterygii,Cyprinidae,Ctenopharyngodon,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163536 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163536, accessed 31 Aug 2017",Cypriniformes,Chordata,Ctenopharyngodon sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTESP,target,FISH
CTESP1,Actinopterygii,Gobiidae,Ctenogobius,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171926 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171926, accessed 31 Aug 2017",Perciformes,Chordata,Ctenogobius sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTESP1,target,FISH
CTESP2,Actinopterygii,Anabantidae,Ctenopoma,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=172587 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=172587, accessed 31 Aug 2017",Perciformes,Chordata,Ctenopoma sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTESP2,target,FISH
CTESPP1,Actinopterygii,Gobiidae,Ctenogobius,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171926 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171926, accessed 31 Aug 2017",Perciformes,Chordata,Ctenogobius spp.,,spp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTESPP1,target,FISH
CTESPP2,Actinopterygii,Anabantidae,Ctenopoma,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=172587 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=172587, accessed 31 Aug 2017",Perciformes,Chordata,Ctenopoma spp.,,spp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTESPP2,target,FISH
CULINC,Actinopterygii,Gasterosteidae,Culaea,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Gasterosteiformes,Chordata,Culaea inconstans,(Kirtland),inconstans,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CULINC,target,FISH
CULSP,Actinopterygii,Gasterosteidae,Culaea,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=166398 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=166398, accessed 31 Aug 2017",Gasterosteiformes,Chordata,Culaea sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CULSP,target,FISH
CYCELO,Actinopterygii,Catostomidae,Cycleptus,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Cycleptus elongatus,(Lesueur),elongatus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYCELO,target,FISH
CYCMER,Actinopterygii,Catostomidae,Cycleptus,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Cycleptus meridionalis,Burr & Mayden,meridionalis,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYCMER,target,FISH
CYCSP,Actinopterygii,Catostomidae,Cycleptus,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163952 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163952, accessed 31 Aug 2017",Cypriniformes,Chordata,Cycleptus sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYCSP,target,FISH
