acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
TOXSPL,Insecta,Culicidae,Toxorhynchites,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchites splendens,"(Wiedemann, 1819)",splendens,Toxorhynchites,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Toxorhynchitini,,,TOXSPL,target,MOSQUITO
TOXSPP,Insecta,Culicidae,,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchitinae sp.,"Lahille, 1904",sp.,,subfamily,,,,,,,,,,,,,Toxorhynchitinae,,,,,,,,,,,,,,,,,TOXSPP,target,MOSQUITO
TOXSPP1,Insecta,Culicidae,,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchitini sp.,"Lahille, 1904",sp.,,tribe,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Toxorhynchitini,,,TOXSPP1,target,MOSQUITO
TOXSPP2,Insecta,Culicidae,Toxorhynchites,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchites sp.,"Theobald, 1901",sp.,,genus,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Toxorhynchitini,,,TOXSPP2,target,MOSQUITO
URAANH,Insecta,Culicidae,Uranotaenia,syntheta,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Uranotaenia anhydor syntheta,"Dyar and Shannon, 1924",anhydor,Pseudoficalbia,subspecies,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Uranotaeniini,,,URAANH,target,MOSQUITO
URAANH1,Insecta,Culicidae,Uranotaenia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Uranotaenia anhydor,"Dyar, 1907",anhydor,Pseudoficalbia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Uranotaeniini,,,URAANH1,target,MOSQUITO
URAANH2,Insecta,Culicidae,Uranotaenia,anhydor,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Uranotaenia anhydor anhydor,"Dyar, 1907",anhydor,Pseudoficalbia,subspecies,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Uranotaeniini,,,URAANH2,target,MOSQUITO
URACOO,Insecta,Culicidae,Uranotaenia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Uranotaenia cooki,"Root, 1937",cooki,Uranotaenia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Uranotaeniini,,,URACOO,target,MOSQUITO
URALOW,Insecta,Culicidae,Uranotaenia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Uranotaenia lowii,"Theobald, 1901",lowii,Uranotaenia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Uranotaeniini,,,URALOW,target,MOSQUITO
URASAP,Insecta,Culicidae,Uranotaenia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Uranotaenia sapphirina,"(Osten Sacken, 1868)",sapphirina,Uranotaenia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Uranotaeniini,,,URASAP,target,MOSQUITO
URASOC,Insecta,Culicidae,Uranotaenia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Uranotaenia socialis,"Theobald, 1901",socialis,Uranotaenia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Uranotaeniini,,,URASOC,target,MOSQUITO
URASP1,Insecta,Culicidae,,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Uranotaeniini sp.,"Lahille, 1904",sp.,,tribe,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Uranotaeniini,,,URASP1,target,MOSQUITO
URASPP,Insecta,Culicidae,Uranotaenia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Uranotaenia sp.,"Lynch Arribalzaga, 1891",sp.,,genus,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Uranotaeniini,,,URASPP,target,MOSQUITO
WYEMED,Insecta,Culicidae,Wyeomyia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Wyeomyia medioalbipes,"Lutz, 1904",medioalbipes,Wyeomyia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Orthopodomyiini,,,WYEMED,target,MOSQUITO
WYEMIT,Insecta,Culicidae,Wyeomyia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Wyeomyia mitchellii,"(Theobald, 1905)",mitchellii,Wyeomyia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Sabethini,,,WYEMIT,target,MOSQUITO
WYESMI,Insecta,Culicidae,Wyeomyia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Wyeomyia smithii,"(Coquillett, 1901)",smithii,Wyeomyia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Sabethini,,,WYESMI,target,MOSQUITO
WYESPE,Insecta,Culicidae,Wyeomyia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Wyeomyia splendida,"Bonne-Wepster and Bonne, 1919",splendida,Phoniomyia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Orthopodomyiini,,,WYESPE,target,MOSQUITO
WYESPP,Insecta,Culicidae,Wyeomyia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Wyeomyia sp.,"Theobald, 1901",sp.,,genus,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Sabethini,,,WYESPP,target,MOSQUITO
WYEVAN,Insecta,Culicidae,Wyeomyia,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Wyeomyia vanduzeei,"Dyar and Knab, 1906",vanduzeei,Wyeomyia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Sabethini,,,WYEVAN,target,MOSQUITO
