neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
PTECAR1,BEETLE,True,78622,Pterostichus caribou,,Pterostichus caribou,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus caribou,,,,,,,
PTECAR2,BEETLE,True,89623,Pterostichus carolinus carolinus,,Pterostichus carolinus carolinus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Monoferonia),,,Pterostichus carolinus,Pterostichus carolinus carolinus,,,,,,
PTECAR3,BEETLE,True,89624,Pterostichus carolinus fumorum,,Pterostichus carolinus fumorum,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Monoferonia),,,Pterostichus carolinus,Pterostichus carolinus fumorum,,,,,,
PTECAS1,BEETLE,True,78624,Pterostichus castaneus,,Pterostichus castaneus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus castaneus,,,,,,,
PTECAS2,BEETLE,True,78625,Pterostichus castanipes,,Pterostichus castanipes,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus castanipes,,,,,,,
PTECAS3,BEETLE,True,78626,Pterostichus castor,,Pterostichus castor,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Melanius),,,Pterostichus castor,,,,,,,
PTECAU,BEETLE,True,78627,Pterostichus caudicalis,,Pterostichus caudicalis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Lamenius),,,Pterostichus caudicalis,,,,,,,
PTECHI,BEETLE,True,78628,Pterostichus chipewyan,,Pterostichus chipewyan,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus chipewyan,,,,,,,
PTECIR,BEETLE,True,78629,Pterostichus circulosus,,Pterostichus circulosus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Eosteropus),,,Pterostichus circulosus,,,,,,,
PTECOC,BEETLE,True,78630,Pterostichus cochlearis,,Pterostichus cochlearis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Leptoferonia),,,Pterostichus cochlearis,,,,,,,
PTECOM,BEETLE,True,78631,Pterostichus commutabilis,,Pterostichus commutabilis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Argutor),,,Pterostichus commutabilis,,,,,,,
PTECON,BEETLE,True,78632,Pterostichus congestus,,Pterostichus congestus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus congestus,,,,,,,
PTECOR1,BEETLE,True,78633,Pterostichus coracinus,,Pterostichus coracinus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Euferonia),,,Pterostichus coracinus,,,,,,,
