acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
DESABD,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus abditus,Anderson and Tilley,abditus,,species,Cumberland Dusky Salamander,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESABD,vertebrateBycatch,HERPETOLOGY
DESAEN,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus aeneus,Brown and Bishop,aeneus,,species,Seepage Salamander,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESAEN,vertebrateBycatch,HERPETOLOGY
DESAPA,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus apalachicolae,Means and Karlin,apalachicolae,,species,Apalachicola Dusky,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESAPA,vertebrateBycatch,HERPETOLOGY
DESAUR,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus auriculatus,Holbrook,auriculatus,,species,Southern Dusky Salamander,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESAUR,vertebrateBycatch,HERPETOLOGY
DESBRI,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus brimleyorum,Stejneger,brimleyorum,,species,Ouachita Dusky Salamander,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESBRI,vertebrateBycatch,HERPETOLOGY
DESCAR,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus carolinensis,Dunn,carolinensis,,species,Carolina Mountain Dusky Salamander,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESCAR,vertebrateBycatch,HERPETOLOGY
DESCON,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus conanti,Rossman,conanti,,species,Spotted Dusky Salamander,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESCON,vertebrateBycatch,HERPETOLOGY
DESFOL,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus folkertsi,Camp; Tilley; Austin and Marshall,folkertsi,,species,Dwarf Black-,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESFOL,vertebrateBycatch,HERPETOLOGY
DESFUS,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus fuscus,Rafinesque,fuscus,,species,Northern Dusky Salamander,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESFUS,vertebrateBycatch,HERPETOLOGY
DESIMI,Amphibia,Plethodontidae,Desmognathus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Caudata,Chordata,Desmognathus imitator,Dunn,imitator,,species,Imitator Salamander,,,,,,,,,,,,Plethodontinae,,,,,,,,,,,,,,,,,DESIMI,vertebrateBycatch,HERPETOLOGY
