neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
DIAPUN,HERPETOLOGY,True,80013,Diadophis punctatus,,Diadophis punctatus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,,,,,,,
DIAPUN10,HERPETOLOGY,True,88570,Diadophis punctatus regalis,,Diadophis punctatus regalis,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus regalis,,,,,,
DIAPUN11,HERPETOLOGY,True,88571,Diadophis punctatus similis,,Diadophis punctatus similis,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus similis,,,,,,
DIAPUN12,HERPETOLOGY,True,88572,Diadophis punctatus stictogenys,,Diadophis punctatus stictogenys,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus stictogenys,,,,,,
DIAPUN13,HERPETOLOGY,True,88573,Diadophis punctatus vandenburgii,,Diadophis punctatus vandenburgii,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus vandenburgii,,,,,,
DIAPUN2,HERPETOLOGY,True,88562,Diadophis punctatus acricus,,Diadophis punctatus acricus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus acricus,,,,,,
DIAPUN3,HERPETOLOGY,True,88563,Diadophis punctatus amabilis,,Diadophis punctatus amabilis,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus amabilis,,,,,,
DIAPUN4,HERPETOLOGY,True,88564,Diadophis punctatus arnyi,,Diadophis punctatus arnyi,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus arnyi,,,,,,
DIAPUN5,HERPETOLOGY,True,88565,Diadophis punctatus edwardsii,,Diadophis punctatus edwardsii,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus edwardsii,,,,,,
DIAPUN6,HERPETOLOGY,True,88566,Diadophis punctatus modestus,,Diadophis punctatus modestus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus modestus,,,,,,
DIAPUN7,HERPETOLOGY,True,88567,Diadophis punctatus occidentalis,,Diadophis punctatus occidentalis,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus occidentalis,,,,,,
DIAPUN8,HERPETOLOGY,True,88568,Diadophis punctatus pulchellus,,Diadophis punctatus pulchellus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus pulchellus,,,,,,
DIAPUN9,HERPETOLOGY,True,88569,Diadophis punctatus punctatus,,Diadophis punctatus punctatus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,Diadophis punctatus,Diadophis punctatus punctatus,,,,,,
DICASP,HERPETOLOGY,True,80014,Dicamptodon,,Dicamptodon sp.,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Ambystomatidae,,,,Dicamptodon,,,,,,,,,,,
DICATE,HERPETOLOGY,True,80015,Dicamptodon aterrimus,,Dicamptodon aterrimus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Ambystomatidae,,,,Dicamptodon,,,,Dicamptodon aterrimus,,,,,,,
DICCOP,HERPETOLOGY,True,80016,Dicamptodon copei,,Dicamptodon copei,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Ambystomatidae,,,,Dicamptodon,,,,Dicamptodon copei,,,,,,,
DICENS,HERPETOLOGY,True,80017,Dicamptodon ensatus,,Dicamptodon ensatus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Ambystomatidae,,,,Dicamptodon,,,,Dicamptodon ensatus,,,,,,,
DICTEN,HERPETOLOGY,True,80018,Dicamptodon tenebrosus,,Dicamptodon tenebrosus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Ambystomatidae,,,,Dicamptodon,,,,Dicamptodon tenebrosus,,,,,,,
DIPDOR,HERPETOLOGY,True,80024,Dipsosaurus dorsalis,,Dipsosaurus dorsalis,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Iguanidae,,,,Dipsosaurus,,,,Dipsosaurus dorsalis,,,,,,,
