acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
ADLNEO,Bacillariophyceae,Naviculaceae,Adlafia,,Chromista,https://www.plecevo.eu/index.php/plecevo/article/view/1393,"Ciugulea, I., Burroughs, S., Defrancesco, C., Spitale, D., Charles, D., Lange-Bertalot, H. and Cantonati, M. (2019) Adlafia neoniana (Naviculaceae), a new diatom species from forest streams in Puerto Rico, Plant Ecology and Evolution, 152(2), pp. 378-384. doi: 10.5091/plecevo.2019.1616",Pennales,,Adlafia neoniana Cantonati,Cantonati,neoniana,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADLNEO,Diatom,ALGAE
AMPCUN,Bacillariophyceae,Catenulaceae,Amphora,,Chromista,"www.algaebase.org/search/species/detail/?species_id=137731 (accessed September 2, 2020)","Levkov & Kristic in Levkov 2009: 54,285; pl.33, fig.9-21; pl.141, fig.1-5; pl.142, fig.1-4; pl.196, fig.4",Pennales,,Amphora cuneatiformis Levkov & Kristic,Levkov & Kristic,cuneatiformis,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPCUN,Diatom,ALGAE
AMPHIPLEURASPP,Bacillariophyceae,Amphipleuraceae,Amphipleura,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Amphipleura spp.,,spp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPHIPLEURASPP,Diatom,ALGAE
AMPHIPLEURFSP,Bacillariophyceae,Amphipleuraceae,,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Amphipleuraceae sp.,,sp.,,family,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPHIPLEURFSP,Diatom,ALGAE
AMPHIPLEURFSPP,Bacillariophyceae,Amphipleuraceae,,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Amphipleuraceae spp.,,spp.,,family,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPHIPLEURFSPP,Diatom,ALGAE
AMPHORASPP,Bacillariophyceae,Catenulaceae,Amphora,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Amphora spp.,,spp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPHORASPP,Diatom,ALGAE
AMPLIB,Bacillariophyceae,Catenulaceae,Amphora,,Chromista,"www.algaebase.org/search/species/detail/?species_id=31132 (accessed July 2, 2021)","Ehrenberg, [C.G.] (1840). [Characteristik von 274 neuen Arten von Infusorien]. Bericht über die zur Bekanntmachung geeigneten Verhandlungen der Königlich-Preussischen Akademie der Wissenschaften zu Berlin 1840: 197-219.",Pennales,,Amphora libyca Ehrenberg,Ehrenberg,lybica,,species,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPLIB,Diatom,ALGAE
AMPLIB1,Bacillariophyceae,Catenulaceae,Amphora,major,Chromista,"www.algaebase.org/search/species/detail/?species_id=103118 (accessed July 2, 2021)","Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 02 July 2021.",Pennales,,Amphora libyca f. major Frenguelli,Frenguelli,lybica,,form,,Bacillariophyta,major,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPLIB1,Diatom,ALGAE
AMPLIN,Bacillariophyceae,Amphipleuraceae,Amphipleura,,Chromista,"researcharchive.calacademy.org/research/diatoms/names/index.asp?xAction=getrec&close=true&TaxonCode=3303 (accessed July 21, 2020)","Cleve 1894, p. 126 (ref. 000232) who seemed to make a distiction between Amphipleura lindheimeri Grunow in Cleve & Möller 1882, No. 298 (ref. 001979), that he placed in syn. with A. pellucida var. brasiliensis, and Amphipleura lindheimeri Grunow 1862.",Pennales,,Amphipleura lindheimeri Grunow,Grunow,lindheimeri,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMPLIN,Diatom,ALGAE
ANABAENASPP,Myxophyceae,Nostocaceae,Anabaena,,Bacteria,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Nostocales,,Anabaena spp.,,spp.,,genus,,Cyanophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANABAENASPP,Blue-Green Algae,ALGAE
ANABAENOPSISSPP,Myxophyceae,Nostocaceae,Anabaenopsis,,Bacteria,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Nostocales,,Anabaenopsis spp.,,spp.,,genus,,Cyanophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANABAENOPSISSPP,Blue-Green Algae,ALGAE
ANEROS,Bacillariophyceae,Mastogloiaceae,Aneumastus,,Chromista,"www.algaebase.org/search/species/detail/?species_id=63401 (accessed March 23, 2021)","Lange-Bertalot, H. (2001). Navicula sensu stricto. 10 Genera separated from Navicula sensu lato. Frustulia. Diatoms of Europe Vol. 2: diatoms of the European inland waters and comparable habitats. pp. 1-526, 140 pls. Ruggell: A.R.G. Gantner Verlag. K.G.",Pennales,,Aneumastus rostratus (Hustedt) Lange-Bertalot,(Hustedt) Lange-Bertalot,rostratus,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANEROS,Diatom,ALGAE
ANEUMASTUSSPP,Bacillariophyceae,Mastogloiaceae,Aneumastus,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Aneumastus spp.,,spp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANEUMASTUSSPP,Diatom,ALGAE
ANKCON,Chlorophyceae,Chlorellaceae,Ankistrodesmus,,Plantae,"www.algaebase.org/search/species/detail/?species_id=36349 (accessed July 6, 2021)","Corda, J.-A.-C. (1838). Nouvelles observations microscopiques. Almanach de Carlsbad 8: 179-198",Chlorellales,,Ankistrodesmus convolutus Corda,Corda,convolutus,,species,,Chlorophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANKCON,Green Algae,ALGAE
ANKISTRODEGSPP,Chlorophyceae,Chlorellaceae,Ankistrodesmus,,Plantae,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Chlorellales,,Ankistrodesmus spp.,,spp.,,genus,,Chlorophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANKISTRODEGSPP,Green Algae,ALGAE
ANKSP,Chlorophyceae,Characiaceae,Ankyra,,Plantae,"www.algaebase.org/search/genus/detail/?genus_id=43378 (accessed December 30, 2020)","Tsarenko, P.M. (2011). Sphaeropleales. In: Algae of Ukraine: diversity, nomenclature, taxonomy, ecology and geography. Volume 3: Chlorophyta. (Tsarenko, P.M., Wasser, S.P. & Nevo, E. Eds), pp. 280-355. Ruggell: A.R.A. Gantner Verlag K.-G..",Chlorococcales,,Ankyra sp.,Fott,sp.,,genus,,Chlorophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANKSP,Green Algae,ALGAE
ANKSPP,Chlorophyceae,Characiaceae,Ankyra,,Plantae,"www.algaebase.org/search/genus/detail/?genus_id=43378 (accessed December 30, 2020)","Tsarenko, P.M. (2011). Sphaeropleales. In: Algae of Ukraine: diversity, nomenclature, taxonomy, ecology and geography. Volume 3: Chlorophyta. (Tsarenko, P.M., Wasser, S.P. & Nevo, E. Eds), pp. 280-355. Ruggell: A.R.A. Gantner Verlag K.-G..",Chlorococcales,,Ankyra spp.,Fott,spp.,,genus,,Chlorophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANKSPP,Green Algae,ALGAE
