('family', 'asteraceae', 'genus', 'oligosporus')
('family', 'asteraceae', 'genus', 'pilosella')
('family', 'asteraceae', 'genus', 'podospermum')
('family', 'asteraceae', 'genus', 'polyotus')
('family', 'asteraceae', 'genus', 'railliardia')
('family', 'asteraceae', 'genus', 'scorzoneroides')
('family', 'asteraceae', 'genus', 'shinnersia')
('family', 'asteraceae', 'genus', 'sphaerocephalus')
('family', 'asteraceae', 'genus', 'synedrellopsis')
('family', 'asteraceae', 'genus', 'tricholepis')
('family', 'asteraceae', 'genus', 'xerochrysum')
('family', 'asteraceae', 'genus', 'zaluzania')
('family', 'asteraceae', 'species', '×argyrautia degeneri')
('family', 'athyriaceae', 'genus', 'athyrium')
('family', 'athyriaceae', 'genus', 'deparia')
('family', 'athyriaceae', 'genus', 'diplazium')
('family', 'balantiopsidaceae', 'genus', 'isotachis')
('family', 'bartramiaceae', 'genus', 'philoxerus')
('family', 'bataceae', 'genus', 'batrachium')
('family', 'bignoniaceae', 'genus', 'bilderdykia')
('family', 'bignoniaceae', 'genus', 'roseodendron')
('family', 'bionectriaceae', 'genus', 'dendrodochium')
('family', 'bionectriaceae', 'genus', 'nectriella')
('family', 'bionectriaceae', 'genus', 'pronectria')
('family', 'blechnaceae', 'genus', 'anchistea')
('family', 'blechnaceae', 'genus', 'lorinseria')
('family', 'blechnaceae', 'genus', 'struthiopteris')
('family', 'blepharostomataceae', 'genus', 'blepharostoma')
('family', 'boraginaceae', 'genus', 'cynthia')
('family', 'boraginaceae', 'genus', 'eremocarya')
('family', 'boraginaceae', 'genus', 'greeneocharis')
('family', 'boraginaceae', 'genus', 'lycopsis')
('family', 'boraginaceae', 'genus', 'oreocarya')
('family', 'brachytheciaceae', 'genus', 'kindbergia')
('family', 'brassicaceae', 'genus', 'aethionema')
('family', 'brassicaceae', 'genus', 'boechera')
('family', 'brassicaceae', 'genus', 'coelophragmus')
('family', 'brassicaceae', 'genus', 'ervum')
('family', 'brassicaceae', 'genus', 'hesperidanthus')
('family', 'brassicaceae', 'genus', 'planodes')
('family', 'brassicaceae', 'genus', 'transberingia')
('family', 'brassicaceae', 'genus', 'turritis')
('family', 'brigantiaeaceae', 'genus', 'brigantiaea')
('family', 'bruchiaceae', 'genus', 'sporledera')
('family', 'brunelliaceae', 'genus', 'bryophyllum')
('family', 'bryaceae', 'genus', 'splachnobryum')
('family', 'buxbaumiaceae', 'genus', 'diplactis')
('family', 'byssolomataceae', 'genus', 'scutula')
('family', 'cactaceae', 'genus', 'carnegia')
('family', 'cactaceae', 'genus', 'nopalea')
('family', 'caliciaceae', 'genus', 'buellia')
('family', 'caliciaceae', 'genus', 'dermiscellum')
('family', 'calophyllaceae', 'genus', 'calophyllum')
('family', 'calophyllaceae', 'genus', 'mammea')
('family', 'calyculariaceae', 'genus', 'calycularia')
('family', 'calypogeiaceae', 'genus', 'kiliasia')
('family', 'campanulaceae', 'genus', 'lochnera')
('family', 'campanulaceae', 'genus', 'palmerella')
('family', 'cannabaceae', 'genus', 'celtis')
('family', 'cannabaceae', 'genus', 'trema')
('family', 'capparaceae', 'genus', 'cynophalla')
('family', 'capparaceae', 'genus', 'quadrella')
('family', 'capparaceae', 'genus', 'stroemia')
('family', 'caprifoliaceae', 'genus', 'centranthus')
('family', 'caprifoliaceae', 'genus', 'cephalaria')
('family', 'caprifoliaceae', 'genus', 'dipsacus')
('family', 'caprifoliaceae', 'genus', 'knautia')
('family', 'caprifoliaceae', 'genus', 'plectritis')
('family', 'caprifoliaceae', 'genus', 'scabiosa')
('family', 'caprifoliaceae', 'genus', 'succisa')
('family', 'caprifoliaceae', 'genus', 'succisella')
('family', 'caprifoliaceae', 'genus', 'valeriana')
('family', 'caprifoliaceae', 'genus', 'valerianella')
('family', 'caprifoliaceae', 'genus', 'weigelia')
('family', 'carcinomycetaceae', 'genus', 'syzygospora')
('family', 'caryophyllaceae', 'genus', 'alsine')
('family', 'caryophyllaceae', 'genus', 'cerasus')
('family', 'caryophyllaceae', 'genus', 'moghania')
('family', 'caryophyllaceae', 'genus', 'psammophiliella')
('family', 'caryophyllaceae', 'genus', 'sabulina')
('family', 'caryophyllaceae', 'genus', 'viscaria')
('family', 'celastraceae', 'genus', 'elaeodendron')
('family', 'celastraceae', 'genus', 'eupatoriadelphus')
('family', 'celastraceae', 'genus', 'hippocratea')
('family', 'celastraceae', 'genus', 'lepuropetalon')
('family', 'celastraceae', 'genus', 'pachystima')
('family', 'celastraceae', 'genus', 'parnassia')
('family', 'celastraceae', 'genus', 'tricerma')
('family', 'celotheliaceae', 'genus', 'celothelium')
('family', 'cephaloziellaceae', 'genus', 'chonecolea')
('family', 'cephaloziellaceae', 'genus', 'herzogobryum')
('family', 'cephaloziellaceae', 'genus', 'protolophozia')
('family', 'chrysothricaceae', 'genus', 'chrysothrix')
('family', 'cibotiaceae', 'genus', 'cibotium')
('family', 'cistaceae', 'genus', 'crocanthemum')
('family', 'cistaceae', 'genus', 'tuberaria')
('family', 'cladoniaceae', 'genus', 'pilophorus')
('family', 'clavulinaceae', 'genus', 'multiclavula')
('family', 'cleomaceae', 'genus', 'arivela')
('family', 'cleomaceae', 'genus', 'cleome')
('family', 'cleomaceae', 'genus', 'cleomella')
('family', 'cleomaceae', 'genus', 'gynandropsis')
('family', 'cleomaceae', 'genus', 'hemiscola')
('family', 'cleomaceae', 'genus', 'polanisia')
('family', 'cleomaceae', 'genus', 'tarenaya')
('family', 'cleveaceae', 'genus', 'peltolepis')
('family', 'coenogoniaceae', 'genus', 'coenogonium')
('family', 'coenogoniaceae', 'genus', 'dimerella')
('family', 'colchicaceae', 'genus', 'colchicum')
('family', 'colchicaceae', 'genus', 'gloriosa')
('family', 'colchicaceae', 'genus', 'uvularia')
('family', 'collemataceae', 'genus', 'phytoconis')
('family', 'coniocybaceae', 'genus', 'coniocybopsis')
('family', 'convolvulaceae', 'genus', 'cuscuta')
('family', 'cordieritidaceae', 'genus', 'skyttea')
('family', 'corticiaceae', 'genus', 'marchandiomyces')
('family', 'crassulaceae', 'genus', 'tillaea')
('family', 'cupressaceae', 'genus', 'cupressocyparis')
('family', 'cupressaceae', 'genus', 'cupressus')
('family', 'cupressaceae', 'genus', 'xanthocyparis')
('family', 'cyatheaceae', 'genus', 'sphaeropteris')
('family', 'cymodoceaceae', 'genus', 'syringodium')
('family', 'cyperaceae', 'genus', 'amphiscirpus')
('family', 'cyperaceae', 'genus', 'bolboschoenus')
