('class', 'gastropoda', 'order', 'anaspidea')
('class', 'gastropoda', 'order', 'archaeogastropoda')
('class', 'gastropoda', 'order', 'archaeopulmonata')
('class', 'gastropoda', 'order', 'basommatophora')
('class', 'gastropoda', 'order', 'cycloneritimorpha')
('class', 'gastropoda', 'order', 'heterostropha')
('class', 'gastropoda', 'order', 'hygrophila')
('class', 'gastropoda', 'order', 'not assigned')
('class', 'gastropoda', 'order', 'notaspidea')
('class', 'gastropoda', 'order', 'patellogastropoda')
('class', 'gastropoda', 'order', 'ptenoglossa')
('class', 'gastropoda', 'order', 'sacoglossa')
('class', 'gastropoda', 'order', 'sorbeoconcha')
('class', 'hirudinea', 'order', 'acanthobdellida')
('class', 'hirudinea', 'order', 'arhynchobdellida')
('class', 'hirudinea', 'order', 'rhynchobdellida')
('class', 'holothuroidea', 'order', 'molpadiida')
('class', 'hydrozoa', 'order', 'leptothecatae')
('class', 'insecta', 'order', 'collembola')
('class', 'maxillopoda', 'order', 'calanoida')
('class', 'maxillopoda', 'order', 'cyclopoida')
('class', 'maxillopoda', 'order', 'harpacticoida')
('class', 'maxillopoda', 'order', 'monstrilloida')
('class', 'maxillopoda', 'order', 'poecilostomatoida')
('class', 'maxillopoda', 'order', 'siphonostomatoida')
('class', 'merostomata', 'order', 'xiphosura')
('class', 'monogonta', 'order', 'collothecaceae')
('class', 'monogonta', 'order', 'flosculariaceae')
('class', 'monogonta', 'order', 'ploima')
('class', 'oligochaeta', 'family', 'aeolosomatidae')
('class', 'oligochaeta', 'order', 'aeolosomatida')
('class', 'oligochaeta', 'order', 'enchytraeida')
('class', 'oligochaeta', 'order', 'haplotaxida')
('class', 'oligochaeta', 'order', 'lumbriculida')
('class', 'oligochaeta', 'order', 'opisthopora')
('class', 'oligochaeta', 'order', 'tubificida')
('class', 'ophiuroidea', 'order', 'phrynophiurida')
('class', 'polychaeta', 'family', 'polygordiidae')
('class', 'polychaeta', 'family', 'psammodrilidae')
('class', 'polychaeta', 'family', 'questidae')
('class', 'polychaeta', 'order', 'aciculata')
('class', 'polychaeta', 'order', 'canalipalpata')
('class', 'polychaeta', 'order', 'capitellida')
('class', 'polychaeta', 'order', 'cirratulida')
('class', 'polychaeta', 'order', 'golfingiida')
('class', 'polychaeta', 'order', 'not assigned')
('class', 'polychaeta', 'order', 'opheliida')
('class', 'polyplacophora', 'order', 'neoloricata')
('class', 'priapulida', 'family', 'priapulidae')
('class', 'pycnogonida', 'order', 'not assigned')
('class', 'rhabditophora', 'order', 'seriata')
('class', 'sedentaria', 'order', 'bonelliida')
('class', 'sedentaria', 'order', 'canalipalpata')
('class', 'sedentaria', 'order', 'echiurida')
('class', 'sedentaria', 'order', 'scolecida')
('class', 'sipuncula', 'order', 'aspidosiphonida')
('class', 'trematoda', 'order', 'monopisthocotylea')
('class', 'trepaxonemata', 'order', 'neoophora')
('class', 'trepaxonemata', 'order', 'polycladida')
('class', 'turbellaria', 'order', 'polycladida')
('class', 'turbellaria', 'order', 'tricladida')
('family', 'akanthophoreidae', 'genus', 'paraleptognathia/akanthophoreus')
('family', 'ampharetidae', 'genus', 'paralysippe')
('family', 'ampharetidae', 'genus', 'pseudampharete')
('family', 'ampharetidae', 'genus', 'sosanopsis')
('family', 'ampithoidae', 'genus', 'peramphithoe')
('family', 'anarthruridae', 'genus', 'chauliopleona')
