neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
NOTBAI2,FISH,True,92382,Noturus baileyi,,Noturus baileyi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus baileyi,,,,,,,
NOTBIF,FISH,True,92315,Notropis bifrenatus,,Notropis bifrenatus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis bifrenatus,,,,,,,
NOTBLE,FISH,True,92316,Notropis blennius,,Notropis blennius,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis blennius,,,,,,,
NOTBOO,FISH,True,92317,Notropis boops,,Notropis boops,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis boops,,,,,,,
NOTBRA,FISH,True,92318,Notropis braytoni,,Notropis braytoni,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis braytoni,,,,,,,
NOTBUC,FISH,True,92319,Notropis buccula,,Notropis buccula,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis buccula,,,,,,,
NOTBUC1,FISH,True,92320,Notropis buchanani,,Notropis buchanani,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis buchanani,,,,,,,
NOTCAE,FISH,True,92321,Notropis caeruleus,,Notropis caeruleus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis caeruleus,,,,,,,
NOTCAH,FISH,True,92322,Notropis cahabae,,Notropis cahabae,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis cahabae,,,,,,,
NOTCAN,FISH,True,92323,Notropis candidus,,Notropis candidus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis candidus,,,,,,,
