neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
NEONDREX438030,ALGAE,True,130657,Micrasterias foliacea,,Micrasterias foliacea Bailey ex Ralfs,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias foliacea,,,,,,,
NEONDREX44062,ALGAE,True,130172,Melosira undulata var. normanii,,Melosira undulata var. normanii Arnott,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Melosiraceae,,,,Melosira,,,,Melosira undulata,,Melosira undulata var. normanii,,,,,
NEONDREX44066,ALGAE,True,130170,Melosira italica var. multistriata,,Melosira italica var. multistriata Patrick,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Melosiraceae,,,,Melosira,,,,Melosira italica,,Melosira italica var. multistriata,,,,,
NEONDREX44068,ALGAE,True,128887,Melosira nummuloides,,Melosira nummuloides (Dillwyn) Agardh,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Melosiraceae,,,,Melosira,,,,Melosira nummuloides,,,,,,,
NEONDREX44072,ALGAE,True,128888,Melosira undulata,,Melosira undulata (Ehrenberg) Kützing,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Melosiraceae,,,,Melosira,,,,Melosira undulata,,,,,,,
NEONDREX44073,ALGAE,True,128889,Melosira varians,,Melosira varians Agardh,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Melosiraceae,,,,Melosira,,,,Melosira varians,,,,,,,
NEONDREX44084,ALGAE,True,128885,Melosira lineata,,Melosira lineata (Dillwyn) Agardh,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Melosiraceae,,,,Melosira,,,,Melosira lineata,,,,,,,
NEONDREX44090,ALGAE,True,128883,Melosira dickiei,,Melosira dickiei (Twaites) Kützing,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Melosiraceae,,,,Melosira,,,,Melosira dickiei,,,,,,,
NEONDREX44091,ALGAE,True,130171,Melosira moniliformis var. octogona,,Melosira moniliformis var. octogona (Grunow) Hustedt,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Melosiraceae,,,,Melosira,,,,Melosira moniliformis,,Melosira moniliformis var. octogona,,,,,
NEONDREX44095,ALGAE,True,127162,Melosira,,Melosira sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Melosiraceae,,,,Melosira,,,,,,,,,,,
NEONDREX441000,ALGAE,True,140303,Microspora stagnorum,,Microspora stagnorum (Kützing) Lagerheim,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,Microspora stagnorum,,,,,,,
NEONDREX441001,ALGAE,True,140301,Microspora pachyderma,,Microspora pachyderma (Wille) Lagerheim,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Microsporales,,,Microsporaceae,,,,Microspora,,,,Microspora pachyderma,,,,,,,
